isbn,title,author,pub,category,average_rating
0345419995,Dave Barry's Greatest Hits,Dave Barry,Ballantine Books,['Humor'],5.0
0886777631,"City of Golden Shadow (Otherland, Volume 1)",Tad Williams,Daw Books,['Fiction'],3.0
0425098648,Night Chills,Dean R. Koontz,Berkley Publishing Group,unknown,4.25
0380718340,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,Avon,['Fiction'],4.2
0451153553,Misery,Stephen King,New Amer Library,['Fiction'],4.75
0142001805,The Eyre Affair: A Novel,Jasper Fforde,Penguin Books,['Fiction'],5.0
0553277839,Faerie Tale,Raymond E. Feist,Bantam,['Fiction'],5.0
0375706062,Lying Awake,Mark Salzman,Vintage Books USA,['Fiction'],5.0
0060981180,Mariette in Ecstasy,Ron Hansen,Perennial,unknown,5.0
0425147622,The Body Farm,Patricia Daniels Cornwell,Berkley Publishing Group,unknown,3.5
0451180410,Mortal Fear,Greg Iles,Signet Book,unknown,3.5
0446360856,The Gold Coast,Nelson DeMille,Warner Books,['Fiction'],3.5
0553582763,By the Light of the Moon,DEAN KOONTZ,Bantam,unknown,4.333333333333333
0425188809,Watchers,Dean R. Koontz,Berkley Publishing Group,unknown,3.0
0425092178,Strangers,Dean R. Koontz,Penguin Putnam~mass,unknown,4.25
0345384369,Intensity,DEAN KOONTZ,Ballantine Books,['Fiction'],4.0
034539657X,Dark Rivers of the Heart,Dean R. Koontz,Ballantine Books,unknown,5.0
0425144429,Mr. Murder,Dean R. Koontz,Berkley Publishing Group,unknown,5.0
0312305060,The Hours: A Novel,Michael Cunningham,Picador,['Fiction'],4.5
0451204948,A Day Late and a Dollar Short,Terry McMillan,Signet Book,['Fiction'],5.0
0060175966,The Professor and the Madman,Simon Winchester,HarperCollins Publishers,['Biography & Autobiography'],4.666666666666667
034545104X,Flesh Tones: A Novel,M. J. Rose,Ballantine Books,['Fiction'],5.0
0399146431,The Bonesetter's Daughter,Amy Tan,Putnam Publishing Group,['Fiction'],4.5
0385482388,The Mistress of Spices,Chitra Banerjee Divakaruni,Anchor Books/Doubleday,['Fiction'],4.5
0399141146,The Hundred Secret Senses,Amy Tan,Putnam Pub Group,unknown,4.75
0375706771,Midwives: A Novel,Chris Bohjalian,Vintage,unknown,4.0
0679722319,Where I'm Calling from: New and Selected Stories (Vintage Contemporaries),Raymond Carver,Vintage Books USA,['Fiction'],5.0
0679745580,In Cold Blood (Vintage International),TRUMAN CAPOTE,Vintage,['HISTORY'],5.0
0020442602,Voyage of the Dawn Treader,C. S. Lewis,MacMillan Publishing Company.,unknown,4.5
0812517725,"The Great Hunt (The Wheel of Time, Book 2)",Robert Jordan,Tor Fantasy,['Fiction'],5.0
0399138749,Mr. Murder,Dean R. Koontz,Putnam Pub Group,['Fiction'],5.0
0451191145,Atlas Shrugged,Ayn Rand,Signet Book,unknown,4.666666666666667
0671510126,The Good Earth (Enriched Classics),Pearl S. Buck,Pocket,unknown,4.333333333333333
0440403278,Number the Stars (Yearling Newbery),Lois Lowry,Yearling Books,unknown,4.5
0060987561,I Know This Much Is True,Wally Lamb,Regan Books,unknown,4.5
0842314296,Hinds' Feet on High Places,Hannah Hurnard,Living Books,['Fiction'],4.0
0312265867,To the Nines: A Stephanie Plum Novel,Janet Evanovich,St. Martin's Press,['Fiction'],4.4
0373250290,Carrie Pilby (Red Dress Ink (Paperback)),Caren Lissner,Red Dress Ink,['Fiction'],3.0
1844262553,Free,Paul Vincent,Upfront Publishing,['Fiction'],4.0
3257227809,Venezianisches Finale. Commissario Brunettis erster Fall.,Donna Leon,Diogenes Verlag,unknown,2.0
344244392X,Das Tagebuch Der Bridget Jones,Helen Fielding,"Wilhelm Goldmann Verlag, GmbH",unknown,4.0
0312150601,Behind the Scenes at the Museum : A Novel,Kate Atkinson,Picador,['Fiction'],4.0
0061099694,Hill Towns,Anne Rivers Siddons,HarperTorch,['Fiction'],4.0
0446603309,The Witness,Sandra Brown,Warner Books,['Fiction'],4.25
0786881852,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,Hyperion,['Self-Help'],4.0
0345413873,Monster : A Novel (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN,Ballantine Books,unknown,3.3333333333333335
0380726262,Moon Music (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,Avon,unknown,3.5
0064410129,"The Carnivorous Carnival (A Series of Unfortunate Events, Book 9)",Lemony Snicket,HarperCollins,['Juvenile Fiction'],4.0
0553801309,A Place of Hiding,ELIZABETH GEORGE,Bantam,['Fiction'],4.5
0440400759,Just As Long As We're Together,Judy Blume,Yearling Books,['Juvenile Fiction'],3.0
037570387X,The Autograph Man: A Novel (Vintage International (Paperback)),Zadie Smith,Vintage Books USA,['Fiction'],5.0
1559029838,Call of the Wild,Jack London,Selldowns/no More Orders,unknown,4.666666666666667
0679746048,"Girl, Interrupted",SUSANNA KAYSEN,Vintage,['Biography & Autobiography'],4.666666666666667
0446610100,Wish You Well,David Baldacci,Warner Books,['Fiction'],3.5
0440216745,Whispers,BELVA PLAIN,Dell,['Fiction'],2.0
0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,St. Martin's Paperbacks,['Fiction'],4.333333333333333
0345334310,The Ship Who Sang,Anne McCaffrey,Del Rey Books,['Fiction'],4.5
0345426274,The Analyst,John Katzenbach,Ballantine Books,unknown,4.0
051512317X,Rising Tides,Nora Roberts,Jove Books,unknown,4.0
0515114693,Born in Fire,Nora Roberts,Jove Books,unknown,4.666666666666667
0060507403,The Cheese Monkeys : A Novel in Two Semesters,Chip Kidd,Perennial,['Fiction'],5.0
0380002930,Watership Down,Richard Adams,Avon,['Fiction'],4.0
0553562967,Bellwether,Connie Willis,Bantam Books,['Fiction'],5.0
0449003183,Brunswick Gardens (Charlotte &amp; Thomas Pitt Novels (Paperback)),Anne Perry,Fawcett Books,unknown,4.5
0312971346,High Five (A Stephanie Plum Novel),Janet Evanovich,St. Martin's Paperbacks,['Fiction'],4.6
0140280553,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,Penguin Books,['Biography & Autobiography'],4.0
0060958022,Five Quarters of the Orange,Joanne Harris,Perennial,unknown,3.0
0385474016,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,Anchor Books/Doubleday,['Fiction'],4.333333333333333
0380804700,Partner in Crime,J.A. Jance,Avon,['Fiction'],4.0
8806143042,Almost blue (Stile libero),Carlo Lucarelli,Einaudi,['Fiction'],4.0
0553210114,The Red Badge of Courage (Bantam Classics),STEPHEN CRANE,Bantam,['Fiction'],5.0
052594527X,Girl With a Pearl Earring,Tracy Chevalier,Dutton Books,['Fiction'],4.0
0345338545,Follow the River,James Alexander Thom,Ballantine Books,['Fiction'],5.0
0375701044,Personal History,Katharine Graham,Vintage Books USA,['Biography & Autobiography'],5.0
0007154615,Unless : A Novel,Carol Shields,Perennial,unknown,4.0
0375412824,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,Knopf,['Fiction'],5.0
1558743669,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,Health Communications,unknown,4.0
059045367X,"Monster Blood (Goosebumps, No 3)",R. L. Stine,Scholastic,['Juvenile Fiction'],3.5
0590453661,"Stay Out of the Basement (Goosebumps, No 2)",R. L. Stine,Scholastic,['Botanists'],2.0
0553582135,Final Target,Iris Johansen,Bantam Books,['Fiction'],4.0
0451410777,Sleep Tight (Onyx Book),Anne Frasier,Onyx Books,['Fiction'],4.666666666666667
0399147772,Orchid Blues (Holly Barker Novels (Hardcover)),Stuart Woods,G. P. Putnam's Sons,['Fiction'],4.0
0399147284,Chosen Prey,John Sandford,G. P. Putnam's Sons,unknown,5.0
039914210X,The Cat Who Tailed a Thief,Lilian Jackson Braun,Putnam Pub Group,['Fiction'],3.5
0880381736,"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)",Margaret Weis,TSR,unknown,4.666666666666667
0767907817,Bookends : A Novel,Jane Green,Broadway,['Fiction'],5.0
0385720106,A Map of the World,Jane Hamilton,Anchor Books/Doubleday,['Fiction'],4.2
0553208845,Siddhartha,Hermann Hesse,Bantam Classics,['Fiction'],5.0
0064400581,Julie of the Wolves (Julie of the Wolves),Jean Craighead George,HarperTrophy,['Juvenile Fiction'],3.0
0842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,Tyndale House Publishers,unknown,4.5
0553574965,The Last Family,John R. Miller,Bantam Books,unknown,3.0
0440225698,The Klone and I: A High-Tech Love Story,Danielle Steel,Dell Publishing Company,['Fiction'],2.5
0440221471,The Runaway Jury,JOHN GRISHAM,Dell,unknown,5.0
0886773784,"Arrows of the Queen ( The Heralds of Valdemar, Book 1)",Mercedes Lackey,Daw Books,unknown,5.0
0425143325,Without Remorse,Tom Clancy,Berkley Publishing Group,['Fiction'],4.5
0425180964,The Bear and the Dragon (Jack Ryan Novels),Tom Clancy,Berkley Publishing Group,['Fiction'],4.333333333333333
0140620869,Alice's Adventures in Wonderland (Penguin Popular Classics),Lewis Carroll,Penguin Books Ltd,['Alice (Fictitious character : Carroll)'],5.0
0743411250,The Woman Next Door,Barbara Delinsky,Pocket,['Fiction'],4.0
0451521285,The Tragedy of Hamlet Prince of Denmark (Signet Classic Shakespeare Series),William Shakespeare,Signet Classics,unknown,4.0
0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,HarperTorch,['Fiction'],4.25
0802132952,Naked Lunch,William S. Burroughs,Grove Press,['Alienation (Social psychology)'],2.5
0061020710,The Color of Magic,Terry Pratchett,HarperTorch,['Fiction'],5.0
0440204887,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,Dell Publishing Company,['Fiction'],3.75
0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,Del Rey,unknown,4.333333333333333
0385199570,The Stand (The Complete and Uncut Edition),Stephen King,Doubleday Books,['Fiction'],3.75
3442541751,Russendisko.,Wladimir Kaminer,Goldmann,unknown,4.0
3423202947,Hunde von Riga.,Henning Mankell,Dtv,unknown,4.5
044048474X,Tales of a Fourth Grade Nothing,JUDY BLUME,Yearling,['Juvenile Fiction'],4.0
0689817215,The View from Saturday (Jean Karl Books (Paperback)),E. L. Konigsburg,Aladdin,['Juvenile Fiction'],4.25
0517580497,Plains of Passage (Earth's Children),Jean M. Auel,Random House Inc,['Fiction'],4.0
1558744630,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),Jack Canfield,Health Communications,unknown,3.0
0316143464,Dress Your Family in Corduroy and Denim,David Sedaris,"Little, Brown",unknown,4.666666666666667
0553294385,"I, Robot",ISAAC ASIMOV,Spectra,unknown,4.75
0671721291,The Ship Who Searched,Anne McCaffrey,Baen,['Fiction'],4.5
0553563521,Devil's Waltz (Alex Delaware Novels (Paperback)),Jonathan Kellerman,Bantam Books,unknown,4.0
055357230X,The Clinic (Alex Delaware Novels (Paperback)),Jonathan Kellerman,Bantam Books,unknown,3.75
0399142282,Hornet's Nest,Patricia Daniels Cornwell,Putnam Publishing Group,unknown,5.0
0812513711,"The Dragon Reborn (The Wheel of Time, Book 3)",Robert Jordan,Tor Fantasy,unknown,5.0
0671004107,Contact,Carl Sagan,Pocket,['Fiction'],5.0
0671683993,The Temple of My Familiar,Alice Walker,Pocket,['Fiction'],4.666666666666667
0020519001,A Farewell to Arms (A Scribner Classic),Ernest Hemingway,Simon &amp; Schuster,unknown,3.5
0060973277,The Mambo Kings Play Songs of Love,Oscar Hijuelos,Perennial,unknown,4.333333333333333
0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,Scholastic,unknown,4.6
0679751602,Mama Makes Up Her Mind: And Other Dangers of Southern Living,Bailey White,Vintage Books USA,['Humor'],4.0
0553211404,Jane Eyre (Bantam Classics),Charlotte Bronte,Bantam,['Fiction'],5.0
0515102652,The Cat Who Talked to Ghosts,Lilian Jackson Braun,Jove Books,['Fiction'],4.0
0312263996,Timbuktu : A Novel,Paul Auster,Picador,unknown,4.0
1400032717,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),Mark Haddon,Vintage,['Fiction'],5.0
0553250515,The Member of the Wedding,CARSON MCCULLERS,Bantam,['Fiction'],3.0
0374100128,The Corrections (Oprah Edition),Jonathan Franzen,Farrar Straus Giroux,unknown,5.0
0452283868,Sula,Toni Morrison,Plume Books,unknown,4.0
0061097314,The Bean Trees,Barbara Kingsolver,HarperTorch,['Fiction'],5.0
0140119906,Love in the Time of Cholera (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez,Penguin Books,['Adultery'],5.0
0060504080,Small Wonder : Essays,Barbara Kingsolver,Perennial,['Literary Collections'],5.0
0345404475,Do Androids Dream of Electric Sheep?,Philip K. Dick,Del Rey Books,unknown,4.333333333333333
0684857820,Lucky,Alice Sebold,Scribner,unknown,4.0
0060092645,My Favorite Bride,Christina Dodd,Avon,unknown,4.0
0061031755,The Promise in a Kiss,Stephanie Laurens,Avon Books,unknown,3.0
0743410653,Booked to Die (Cliff Janeway Novels (Paperback)),John Dunning,Pocket Star,unknown,3.0
0140124373,Red Dwarf,Grant Naylor,Penguin Books Ltd,['English fiction'],3.0
0450411435,It,Stephen King,Trafalgar Square,['Horror tales'],4.0
037541309X,Balzac and the Little Chinese Seamstress,Dai Sijie,Alfred A. Knopf,['Fiction'],4.0
0553579606,Ashes to Ashes,TAMI HOAG,Bantam,['Fiction'],4.0
0061013439,The Run,Stuart Woods,HarperTorch,['Fiction'],3.0
0553578901,The Hostage Bride,Jane Feather,Bantam Books,unknown,3.0
0345382846,Here Be Dragons,Sharon Kay Penman,Ballantine Books,unknown,4.0
006099486X,"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary",Simon Winchester,Perennial,unknown,4.333333333333333
044652087X,My Sergei: A Love Story,Ekaterina Gordeeva,Warner Books,['Biography & Autobiography'],4.0
0670855030,Insomnia,Stephen King,Viking Books,unknown,3.5
0440183057,Stillwatch,MARY HIGGINS CLARK,Dell,['Fiction'],4.666666666666667
0671769200,If You Really Loved Me,Ann Rule,Pocket,unknown,5.0
0671250671,"ROAD LESS TRAVELED : A New Psychology of Love, Traditional Values, and Spritual Growth (Touchstone Books (Paperback))",M. Scott Peck,Touchstone,['Interpersonal relations'],4.0
0425118703,Midnight,Dean R. Koontz,Berkley Publishing Group,unknown,4.333333333333333
0811802981,The Golden Mean: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Concludes,Nick Bantock,Chronicle Books,['Fiction'],5.0
0380792737,Island of the Sequined L,Christopher Moore,William Morrow,unknown,5.0
0553109839,The Patient,Michael Palmer,Bantam Books,['Fiction'],5.0
0140296409,Disgrace,J. M. Coetzee,Penguin Books,unknown,4.0
0670891576,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,Penguin Putnam,['History'],4.5
0375401598,Pandora : New Tales of the Vampires,ANNE RICE,Knopf,['Fiction'],3.5
0684802988,FLOOD TIDE,Clive Cussler,Simon &amp; Schuster,unknown,4.0
0061000043,A Thief of Time (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,HarperTorch,['Fiction'],5.0
0151006725,Slammerkin,Emma Donoghue,Harcourt,['Fiction'],5.0
0553289411,The Plains of Passage (Earth's Children (Paperback)),JEAN M. AUEL,Bantam,unknown,4.5
044661064X,The First Counsel,Brad Meltzer,Warner Vision,['Fiction'],5.0
0765342987,Kushiel's Dart,Jacqueline Carey,Tor Books,['Fiction'],5.0
0571154913,Remains of the Day,Kazuo Ishiguro,Faber Faber Inc,unknown,5.0
0060517611,The Lady in Question,Victoria Alexander,Avon,unknown,5.0
002026478X,AGE OF INNOCENCE (MOVIE TIE-IN),Edith Wharton,Scribner,['Fiction'],5.0
0345447840,The Surgeon,TESS GERRITSEN,Ballantine Books,['Fiction'],4.0
0312977360,The Church of Dead Girls,Stephen Dobyns,St. Martin's Paperbacks,['Fiction'],4.0
0553569791,The Last Innocent Man,PHILLIP M. MARGOLIN,Bantam,['Fiction'],4.0
044661193X,Basket Case,Carl Hiaasen,Warner Books,unknown,3.0
0440419468,Holes,LOUIS SACHAR,Yearling,['Juvenile Fiction'],5.0
0446359866,Presumed Innocent,Scott Turow,Warner Books,unknown,4.0
0446602612,The Poet,Michael Connelly,Warner Books,['Fiction'],4.333333333333333
0446612790,2nd Chance,James Patterson,Warner Vision,unknown,4.333333333333333
0446606383,The Midnight Club,James Patterson,Warner Vision,unknown,4.0
0553213148,Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,Bantam Classics,['Juvenile Fiction'],4.714285714285714
0380725584,The Indian in the Cupboard (rack) (Indian in the Cupboard),Lynne Reid Banks,HarperTrophy,['Juvenile Fiction'],4.25
0394580567,It Was on Fire When I Lay Down on It,Robert Fulghum,Random House Inc,unknown,5.0
002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,John Wiley &amp; Sons Inc,['Humor'],3.0
0451203895,4 Blondes,Candace Bushnell,Signet Book,['Fiction'],4.0
0553272535,Night,Elie Wiesel,Bantam Books,unknown,4.75
0451209710,The Dewey Decimal System of Love,Josephine Carr,New American Library,['Fiction'],4.0
0425181464,Seduction in Death,J. D. Robb,Berkley Publishing Group,['Fiction'],4.0
0345347951,Childhood's End,Arthur C. Clarke,Del Rey Books,['Fiction'],4.5
039480001X,The Cat in the Hat,Dr. Seuss,Random House Books for Young Readers,['Juvenile Fiction'],4.166666666666667
1857022424,Shipping News,E Annie Proulx,Fourth Estate,['Domestic fiction'],4.0
068484477X,STONES FROM THE RIVER,Ursula Hegi,Touchstone,unknown,3.8333333333333335
0393317552,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,W. W. Norton &amp; Company,['History'],4.5
0684853515,Hearts In Atlantis : New Fiction,Stephen King,Scribner,['Fiction'],3.6666666666666665
0375504397,Black House,Stephen King,Random House Trade,['Fiction'],4.0
0452283205,Falling Angels,Tracy Chevalier,Plume Books,unknown,4.0
0316779237,Holidays on Ice : Stories,David Sedaris,Back Bay Books,unknown,4.5
0385421982,The Pelican Brief,JOHN GRISHAM,Doubleday,['Fiction'],4.666666666666667
0875421180,Wicca: A Guide for the Solitary Practitioner,Scott Cunningham,Llewellyn Publications,"['Body, Mind & Spirit']",4.0
014006690X,The Women of Brewster Place (Penguin Contemporary American Fiction Series),Gloria Naylor,Penguin Books,['Fiction'],5.0
0553250531,The Valley of Horses,JEAN M. AUEL,Bantam,['Fiction'],5.0
0440213525,The Client,John Grisham,Dell Publishing Company,['Fiction'],4.222222222222222
0451188462,Desperation,Stephen King,Signet Book,['Fiction'],4.0
0441135560,Damia (Ace Science Fiction),Anne McCaffrey,ACE Charter,['Fiction'],3.0
0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,Scholastic,['Juvenile Fiction'],5.0
0440111811,Changes,Danielle Steel,Dell,unknown,4.0
0064400557,Charlotte's Web (Trophy Newbery),E. B. White,HarperTrophy,['Juvenile Fiction'],4.714285714285714
0553297988,"Jedi Search (Star Wars: The Jedi Academy Trilogy, Vol. 1)",Kevin J. Anderson,Bantam,['Fiction'],4.0
0679448594,Primary Colors: A Novel of Politics,Anonymous,Random House Inc,['Fiction'],4.0
0671867172,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,Pocket,['Fiction'],4.2
0061030635,Wild Justice,Phillip Margolin,HarperTorch,['Fiction'],3.0
0446613436,The Guardian,Nicholas Sparks,Warner Books,unknown,3.0
0449006530,Midnight Voices,JOHN SAUL,Ballantine Books,['Fiction'],4.0
006109157X,Dead Eyes,Stuart Woods,HarperTorch,unknown,4.0
0440221315,The Gift,DANIELLE STEEL,Dell,['Fiction'],5.0
0553576011,Send No Flowers,SANDRA BROWN,Bantam,['Fiction'],3.0
0446527785,A Bend in the Road,Nicholas Sparks,Warner Books,unknown,4.0
0312272057,Dry: A Memoir,Augusten Burroughs,St. Martin's Press,['Biography & Autobiography'],5.0
0836218353,Yukon Ho!,Bill Watterson,Andrews McMeel Publishing,unknown,4.0
0836204387,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,Andrews McMeel Publishing,['Humor'],5.0
0064407055,Ella Enchanted (Trophy Newbery),Gail Carson Levine,HarperTrophy,['Juvenile Fiction'],4.0
0553262505,"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN,Bantam,['Fiction'],5.0
0689710879,The Dark Is Rising,Susan Cooper,Simon Pulse,['Fiction'],5.0
0020427859,"Over Sea, Under Stone",Susan Cooper,Simon Pulse,['Juvenile Fiction'],5.0
0316096199,Lucky : A Memoir,Alice Sebold,Back Bay Books,unknown,4.0
1551669307,A Gift To Last,Debbie Macomber,Mira,unknown,4.0
0060532149,Bare Necessity,Carole Matthews,Avon Trade,['Fiction'],3.5
081296683X,Girls' Poker Night: A Novel,Jill Davis,Random House Trade,['Fiction'],4.0
0375713751,I Don't Know How She Does It,ALLISON PEARSON,Knopf,unknown,3.0
0440224845,Bittersweet,DANIELLE STEEL,Dell,unknown,5.0
0671864173,WAITING TO EXHALE,Terry McMillan,Pocket,['African American men'],4.0
0373079613,"Enchanted: The Donovan Legacy (Intimate Moments, #961)",Nora Roberts,Silhouette,unknown,4.333333333333333
0440200989,Weep No More My Lady,Mary Higgins Clark,Dell,['Fiction'],3.8
0671568175,Let Me Call You Sweetheart,Mary Higgins Clark,Pocket,unknown,4.75
0449221504,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,Fawcett Books,['Fiction'],5.0
0446607193,Unspeakable,Sandra Brown,Warner Books,['Fiction'],4.0
0671705091,A Knight in Shining Armor,Jude Deveraux,Pocket,['Fiction'],4.2
0373484003,Irish Hearts,Nora Roberts,Silhouette,['Fiction'],4.0
0440223237,Malice,DANIELLE STEEL,Dell,unknown,4.0
1558747109,"Chicken Soup for the Cat and Dog Lover's Soul - Celebrating Pets as Family with Stories About Cats, Dogs and Other Critters",Jack Canfield,Health Communications,['Pets'],5.0
0786884142,A Monk Swimming : A Memoir,Malachy McCourt,Hyperion,['Biography & Autobiography'],3.0
0767905385,Catch Me If You Can: The True Story of a Real Fake,Stan Redding,Broadway,['True Crime'],5.0
0671793551,"A Fever in the Heart : Ann Rule's Crime Files, Volume III",Ann Rule,Pocket,['Literary Criticism'],3.0
0440211263,Circle of Friends,Maeve Binchy,Dell,['Fiction'],4.333333333333333
0553260111,The Bourne Identity,Robert Ludlum,Bantam Books,['Fiction'],5.0
0380775840,Amber Beach (Donovan),Elizabeth Lowell,Avon,unknown,3.5
0743411439,Bitterroot,James Lee Burke,Pocket,unknown,4.0
0767900383,Under the Tuscan Sun,Frances Mayes,Broadway,['Travel'],4.0
0380804697,Paradise Lost,J.A. Jance,Avon,['Fiction'],4.0
0684865742,Tis: A Memoir,Frank McCourt,Scribner,unknown,4.0
0671728571,Wildest Hearts,Jayne Ann Krentz,Pocket,unknown,3.5
0671034006,Heartbreaker,Julie Garwood,Pocket,['Fiction'],4.5
0425116840,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,Berkley Publishing Group,['Fiction'],4.0
0380817152,The Golden One : A Novel of Suspense,Elizabeth Peters,Avon,unknown,5.0
0425191184,Red Rabbit,Tom Clancy,Berkley Publishing Group,['Fiction'],4.0
8495618605,El Codigo Da Vinci / The Da Vinci Code,Dan Brown,Ediciones Urano,unknown,2.0
0836218221,The Authoritative Calvin and Hobbes (Calvin and Hobbes),Bill Watterson,Andrews McMeel Publishing,['Humor'],4.666666666666667
0452278902,The Green Mile: The Complete Serial Novel,Stephen King,Plume Books,unknown,3.0
074343627X,Dreamcatcher,Stephen King,Pocket,unknown,4.75
039914465X,Southern Cross,Patricia Daniels Cornwell,Putnam Pub Group,['Fiction'],2.5
067102423X,Bag of Bones,Stephen King,Pocket,unknown,4.5
0345334531,Feast of All Saints,Anne Rice,Ballantine Books,['Fiction'],3.0
0316316962,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Little, Brown",['Psychology'],4.0
0399143947,Point of Origin,Patricia Daniels Cornwell,Putnam Pub Group,['Fiction'],4.0
0440237262,The Program,Stephen White,Dell Publishing Company,['Fiction'],4.0
0486264785,The Importance of Being Earnest (Dover Thrift Editions),Oscar Wilde,Dover Publications,['Drama'],4.0
0060809833,Brave New World,Aldous Huxley,Harpercollins,unknown,5.0
0156711427,A Passage to India,E.M. Forster,Harvest Books,['Fiction'],4.0
0425090787,The Fourth Deadly Sin,Lawrence Sanders,Berkley Publishing Group,unknown,4.0
0553268880,The Prince of Tides,Pat Conroy,Bantam Books,['Fiction'],4.0
0316666009,1st to Die: A Novel,James Patterson,Little Brown and Company,unknown,3.6666666666666665
0345391810,The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,Ballantine Books,unknown,5.0
0440216540,Before and After,Rosellen Brown,Dell,['Fiction'],3.0
0140431357,Tess of the D'Urbervilles (Penguin Classics),Thomas Hardy,Penguin Books,unknown,5.0
0446611867,A Bend in the Road,Nicholas Sparks,Warner Books,unknown,4.0
0385336179,Shopaholic Ties the Knot,Sophie Kinsella,Delta,['Fiction'],4.5
060980619X,God Save the Sweet Potato Queens,JILL CONNER BROWNE,Three Rivers Press,unknown,4.0
0373483880,The Macgregors: Serena - Caine (The Macgregors),Nora Roberts,Silhouette,['Fiction'],4.333333333333333
0061042005,Suddenly,Barbara Delinsky,HarperTorch,['Fiction'],4.0
0553582755,One Door Away from Heaven,Dean R. Koontz,Bantam Books,['Fiction'],4.5
0452268060,How the Garcia Girls Lost Their Accents (Plume Contemporary Fiction),Julia Alvarez,Plume Books,unknown,3.6666666666666665
0671759213,She's Come Undone,Wally Lamb,Pocket Books,['Compulsive eating'],4.0
044651652X,The Bridges of Madison County,Robert James Waller,Warner Books,['Fiction'],4.5
0446364282,Love's Encore,Sandra Brown,Warner Books,unknown,3.0
0142002267,"Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Stefan Fatsis,Penguin Books,unknown,4.666666666666667
0380720132,The Mystery of the Cupboard (Indian in the Cupboard),Lynne Reid Banks,HarperTrophy,['Juvenile Fiction'],5.0
0842329277,"Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind No. 6)",Tim Lahaye,Tyndale House Publishers,unknown,3.0
0440439884,Island of the Blue Dolphins,SCOTT O'DELL,Random House Children's Books,['Juvenile Fiction'],3.8
059030271X,Charlotte's Web,E. B. White,Scholastic Paperbacks (T),['Juvenile Fiction'],5.0
0345339738,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,Del Rey,unknown,4.333333333333333
0446679593,Suzanne's Diary for Nicholas,James Patterson,Warner Books,unknown,5.0
0886774268,"Magic's Price (The Last Herald-Mage Series, Book 3)",Mercedes Lackey,Daw Books,['Fiction'],4.333333333333333
0886773520,"Magic's Pawn (The Last Herald-Mage Series, Book 1)",Mercedes Lackey,Daw Books,['Fiction'],5.0
0886774012,"Magic's Promise (The Last Herald-Mage Series, Book 2)",Mercedes Lackey,Daw Books,['Fiction'],5.0
0679417796,The Alienist,Caleb Carr,Random House,unknown,4.0
0380973650,American Gods: A Novel,Neil Gaiman,William Morrow,['Fiction'],4.5
0802130208,A Confederacy of Dunces (Evergreen Book),John Kennedy Toole,Grove Press,['Fiction'],4.4
0842373195,"Let's Roll: Ordinary People, Extraordinary Courage",Lisa Beamer,Tyndale House Publishers,['Biography & Autobiography'],2.0
